"SKU";"Название";"Бренд";"Продавец";"Категория";"Схема";"Наличие";"Коммент.";"Рейтинг";"Цена";"Мин. цена";"Макс. цена";"Ср . цена";"Цена с Ozon картой";"Продаж";"Выручка (30 дней)";"Средняя дневная выручка";"Потенциал";"Упущенная выручка";"Упущенная выручка %";"Был в наличии";"Дней с продажами";"Среднее при наличии";"Фото";"Url";"Среднее число продаж";"Позиция в категории";"Цена до скидки";"Медиан. цена";"Продажи 2023-07-26";"Продажи 2023-07-27";"Продажи 2023-07-28";"Продажи 2023-07-29";"Продажи 2023-07-30";"Продажи 2023-07-31";"Продажи 2023-08-01";"Продажи 2023-08-02";"Продажи 2023-08-03";"Продажи 2023-08-04";"Продажи 2023-08-05";"Продажи 2023-08-06";"Продажи 2023-08-07";"Продажи 2023-08-08";"Продажи 2023-08-09";"Продажи 2023-08-10";"Продажи 2023-08-11";"Продажи 2023-08-12";"Продажи 2023-08-13";"Продажи 2023-08-14";"Продажи 2023-08-15";"Продажи 2023-08-16";"Продажи 2023-08-17";"Продажи 2023-08-18";"Продажи 2023-08-19";"Продажи 2023-08-20";"Продажи 2023-08-21";"Продажи 2023-08-22";"Продажи 2023-08-23";"Продажи 2023-08-24";"Выручка 2023-07-26";"Выручка 2023-07-27";"Выручка 2023-07-28";"Выручка 2023-07-29";"Выручка 2023-07-30";"Выручка 2023-07-31";"Выручка 2023-08-01";"Выручка 2023-08-02";"Выручка 2023-08-03";"Выручка 2023-08-04";"Выручка 2023-08-05";"Выручка 2023-08-06";"Выручка 2023-08-07";"Выручка 2023-08-08";"Выручка 2023-08-09";"Выручка 2023-08-10";"Выручка 2023-08-11";"Выручка 2023-08-12";"Выручка 2023-08-13";"Выручка 2023-08-14";"Выручка 2023-08-15";"Выручка 2023-08-16";"Выручка 2023-08-17";"Выручка 2023-08-18";"Выручка 2023-08-19";"Выручка 2023-08-20";"Выручка 2023-08-21";"Выручка 2023-08-22";"Выручка 2023-08-23";"Выручка 2023-08-24";"Цена 2023-07-26";"Цена 2023-07-27";"Цена 2023-07-28";"Цена 2023-07-29";"Цена 2023-07-30";"Цена 2023-07-31";"Цена 2023-08-01";"Цена 2023-08-02";"Цена 2023-08-03";"Цена 2023-08-04";"Цена 2023-08-05";"Цена 2023-08-06";"Цена 2023-08-07";"Цена 2023-08-08";"Цена 2023-08-09";"Цена 2023-08-10";"Цена 2023-08-11";"Цена 2023-08-12";"Цена 2023-08-13";"Цена 2023-08-14";"Цена 2023-08-15";"Цена 2023-08-16";"Цена 2023-08-17";"Цена 2023-08-18";"Цена 2023-08-19";"Цена 2023-08-20";"Цена 2023-08-21";"Цена 2023-08-22";"Цена 2023-08-23";"Цена 2023-08-24";"Запросы 2023-07-26";"Запросы 2023-07-27";"Запросы 2023-07-28";"Запросы 2023-07-29";"Запросы 2023-07-30";"Запросы 2023-07-31";"Запросы 2023-08-01";"Запросы 2023-08-02";"Запросы 2023-08-03";"Запросы 2023-08-04";"Запросы 2023-08-05";"Запросы 2023-08-06";"Запросы 2023-08-07";"Запросы 2023-08-08";"Запросы 2023-08-09";"Запросы 2023-08-10";"Запросы 2023-08-11";"Запросы 2023-08-12";"Запросы 2023-08-13";"Запросы 2023-08-14";"Запросы 2023-08-15";"Запросы 2023-08-16";"Запросы 2023-08-17";"Запросы 2023-08-18";"Запросы 2023-08-19";"Запросы 2023-08-20";"Запросы 2023-08-21";"Запросы 2023-08-22";"Запросы 2023-08-23";"Запросы 2023-08-24";"Остатки 2023-07-26";"Остатки 2023-07-27";"Остатки 2023-07-28";"Остатки 2023-07-29";"Остатки 2023-07-30";"Остатки 2023-07-31";"Остатки 2023-08-01";"Остатки 2023-08-02";"Остатки 2023-08-03";"Остатки 2023-08-04";"Остатки 2023-08-05";"Остатки 2023-08-06";"Остатки 2023-08-07";"Остатки 2023-08-08";"Остатки 2023-08-09";"Остатки 2023-08-10";"Остатки 2023-08-11";"Остатки 2023-08-12";"Остатки 2023-08-13";"Остатки 2023-08-14";"Остатки 2023-08-15";"Остатки 2023-08-16";"Остатки 2023-08-17";"Остатки 2023-08-18";"Остатки 2023-08-19";"Остатки 2023-08-20";"Остатки 2023-08-21";"Остатки 2023-08-22";"Остатки 2023-08-23";"Остатки 2023-08-24"
941537301;"Чехол оплётка на руль автомобиля Autoboost, размер М 37,38,39 см, со шнуровкой, перфорированная кожа и красная нить";"Autoboost";"Autoboost";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";34;1;"5";600;574;613;"601,75";578;4;2407;"80,2333";"2407";"0";"0";30;3;"0,1333";"https://cdn1.ozone.ru/s3/multimedia-5/6625723541.jpg";"https://www.ozon.ru/context/detail/id/941537301";"0,1333";0;1200;592;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;606;0;1214;0;0;0;0;0;0;581;589;587;592;592;592;581;580;589;597;613;613;613;590;583;584;574;574;574;574;584;606;607;607;606;606;606;608;609;600;21;25;27;39;38;17;35;36;52;62;40;48;66;58;67;67;69;74;70;39;47;87;91;99;80;65;66;60;91;83;38;38;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;36;36;34;34;34;34;34;34;34
889733175;"Универсальная оплётка на руль Rudder с синей нулевой отметкой / Чехол на руль автомобиля кожаный размер М (37-38 см)";"Rudder";"Rudder";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";1;271;"4,77";1134;1075;1331;"1145,0625";1090;16;18321;"610,7";"18321";"0";"0";30;10;"0,5333";"https://cdn1.ozone.ru/s3/multimedia-2/6596877422.jpg";"https://www.ozon.ru/context/detail/id/889733175";"0,5333";0;2700;1134.5;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;2;1;1;0;0;2;0;0;2208;2150;0;0;2584;0;0;0;0;0;0;0;0;0;0;0;0;1325;0;0;1122;2244;2210;1105;1105;0;0;2268;1095;1115;1104;1075;1075;1075;1292;1286;1286;1314;1331;1331;1331;1308;1281;1290;1281;1325;1325;1325;1107;1101;1122;1122;1105;1105;1105;1127;1135;1134;29;30;27;24;0;0;8;7;8;10;4;5;8;9;7;1;0;0;0;0;16;28;31;0;0;0;0;0;1;0;8;11;9;7;7;7;5;5;8;8;8;10;10;10;10;10;10;10;10;9;10;10;9;7;5;4;3;3;3;1
889733170;"Универсальная оплётка на руль Rudder с серой нулевой отметкой / Чехол на руль автомобиля кожаный размер М (37-38 см)";"Rudder";"Rudder";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";0;271;"4,77";1081;1075;1135;"1106,1062";1039;160;176977;"5899,2333";"183079,6552";"6102,66";"3,34";29;28;"5,4138";"https://cdn1.ozone.ru/s3/multimedia-g/6596866528.jpg";"https://www.ozon.ru/context/detail/id/889733170";"5,3333";0;2700;1109.5;6;6;5;7;5;3;3;4;10;2;0;0;5;9;11;4;5;10;3;5;7;6;7;6;5;4;6;8;5;3;6690;6624;5375;7525;5375;3381;3243;4352;11120;2252;0;0;5630;9756;12012;4336;5605;11210;3363;5535;7707;6732;7854;6732;5525;4420;6630;9080;5670;3243;1115;1104;1075;1075;1075;1127;1081;1088;1112;1126;1126;1126;1126;1084;1092;1084;1121;1121;1121;1107;1101;1122;1122;1122;1105;1105;1105;1135;1134;1081;34;38;38;54;35;30;34;37;43;37;59;49;47;43;14;9;23;41;44;44;51;87;40;49;35;28;54;23;29;51;51;59;54;47;42;39;36;32;29;28;33;33;28;19;48;45;42;38;36;31;25;19;17;12;11;8;10;2;3;0
889732862;"Универсальная оплётка на руль Rudder с красной нулевой отметкой / Чехол на руль автомобиля кожаный размер М (37-38 см)";"Rudder";"Rudder";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";32;271;"4,77";1134;1075;1135;"1104,5926";1090;81;89472;"2982,4";"89472";"0";"0";30;28;"2,7";"https://cdn1.ozone.ru/s3/multimedia-i/6596856522.jpg";"https://www.ozon.ru/context/detail/id/889732862";"2,7";0;2700;1111;2;4;3;4;1;1;4;3;4;4;3;0;0;2;6;3;1;1;1;3;3;4;3;3;5;6;4;1;1;1;2190;4460;3312;4300;1075;1075;4372;3264;4352;4504;3378;0;0;2214;6504;3252;1121;1121;1121;3363;3303;4488;3366;3366;5525;6630;4420;1127;1135;1134;1095;1115;1104;1075;1075;1075;1093;1088;1088;1126;1126;1126;1126;1107;1084;1084;1121;1121;1121;1121;1101;1122;1122;1122;1105;1105;1105;1127;1135;1134;51;37;38;52;39;31;50;36;38;34;34;21;16;31;9;22;20;36;39;46;41;48;50;69;50;57;52;42;46;50;29;34;31;27;26;25;21;15;21;17;20;21;21;24;55;54;54;64;63;60;57;53;50;47;43;38;34;33;32;32
889732872;"Универсальная оплётка на руль Rudder с коричневой нулевой отметкой / Чехол на руль автомобиля кожаный размер М (37-38 см)";"Rudder";"Rudder";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";0;271;"4,77";1519;1081;1519;"1117,1333";1463;15;16757;"558,5667";"21856,9565";"5099,96";"23,34";23;12;"0,5652";"https://cdn1.ozone.ru/s3/multimedia-f/6596862459.jpg";"https://www.ozon.ru/context/detail/id/889732872";"0,5";0;2700;1126;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;1;1;1;2;1;1;1;1;2;0;0;0;0;0;0;0;0;0;1232;0;0;0;1081;2224;0;0;0;0;0;0;1092;1084;1121;2242;1107;1107;1101;1122;2244;0;0;0;0;0;0;1255;1278;1265;1232;1232;1232;1093;1081;1112;1126;1126;1126;1126;1107;1084;1092;1084;1121;1121;1107;1107;1101;1122;1122;1305;1305;1305;1332;1341;1519;5;8;15;12;6;4;16;19;16;20;17;16;10;10;13;8;10;9;11;6;0;0;1;0;0;0;0;0;0;0;11;13;13;12;12;12;12;11;11;11;11;11;11;11;11;10;9;8;6;5;4;3;2;0;0;0;0;0;0;0
889732859;"Универсальная оплётка на руль Rudder с бежевой нулевой отметкой / Чехол на руль автомобиля кожаный размер М (37-38 см)";"Rudder";"Rudder";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";0;271;"4,77";1519;1075;1519;"1114,7037";1463;27;30097;"1003,2333";"41041,3636";"10944,37";"26,67";22;10;"1,1364";"https://cdn1.ozone.ru/s3/multimedia-i/6596869734.jpg";"https://www.ozon.ru/context/detail/id/889732859";"0,9";0;2700;1118;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;3;4;1;0;4;6;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2252;1084;4336;3276;4484;1121;0;4484;6606;1122;0;0;0;0;0;1332;0;0;1095;1115;1104;1075;1075;1075;1093;1081;1088;1112;1126;1126;1126;1084;1084;1092;1121;1121;1121;1121;1101;1122;1326;1326;1305;1305;1105;1332;1341;1519;27;28;17;24;24;18;9;8;11;17;39;60;53;44;38;41;57;54;63;45;10;0;0;0;0;14;33;0;0;0;24;24;24;24;24;24;24;23;25;25;25;25;23;22;18;15;11;11;11;7;1;0;0;0;0;0;1;0;0;0
976827087;"Оплётка на руль, чехол на руль автомобиля, чехол для рычага переключения передач";"Good Smile";"goodsmile";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";26;85;"4,92";691;675;780;"727";665;2;1454;"48,4667";"1454";"0";"0";30;2;"0,0667";"https://cdn1.ozone.ru/s3/multimedia-p/6649170757.jpg";"https://www.ozon.ru/context/detail/id/976827087";"0,0667";0;1900;725.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;762;0;0;0;0;0;0;0;0;692;0;0;0;0;678;677;675;676;676;676;772;766;750;753;771;771;771;772;780;762;762;762;762;762;776;698;701;701;692;692;692;692;691;691;18;15;12;10;9;4;9;8;14;13;9;13;10;8;8;8;6;8;7;8;8;12;11;15;17;13;13;13;18;15;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;27;27;27;27;27;27;27;27;27;26;26;26;26;26
976800895;"Оплётка на руль, чехол на руль автомобиля, чехол для рычага переключения передач";"Good Smile";"goodsmile";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";26;85;"4,92";877;830;1000;"965";843;2;1930;"64,3333";"1930";"-0";"-0";30;1;"0,0667";"https://cdn1.ozone.ru/s3/multimedia-k/6649151672.jpg";"https://www.ozon.ru/context/detail/id/976800895";"0,0667";0;2250;922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1930;0;0;0;0;0;0;0;0;0;0;0;0;0;0;830;851;850;849;849;849;967;958;965;975;984;984;984;980;968;965;968;968;968;968;1000;869;884;886;880;880;880;880;877;877;12;10;11;11;13;4;11;11;18;19;14;17;15;11;9;11;10;12;10;6;6;10;10;15;16;11;10;9;12;9;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;25;25;26;26;26;26;26;26;26;26;26;26;26;26;26
976721499;"Оплётка на руль, чехол на руль автомобиля, чехол для рычага переключения передач";"Good Smile";"goodsmile";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";27;85;"4,92";1051;1051;1206;"nan";1011;0;0;"0";"0";"0";"0";30;0;"0";"https://cdn1.ozone.ru/s3/multimedia-z/6649106471.jpg";"https://www.ozon.ru/context/detail/id/976721499";"0";0;2500;1101.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1089;1089;1089;1089;1089;1089;1179;1114;1165;1191;1206;1206;1206;1185;1161;1169;1161;1182;1182;1182;1185;1052;1069;1070;1056;1056;1056;1072;1067;1051;16;10;7;8;9;4;6;6;7;7;5;6;8;4;5;4;4;8;5;4;5;6;7;8;9;6;6;6;11;7;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
919339138;"Оплётка на руль, чехол на руль автомобиля, чехол для рычага переключения передач";"Good Smile";"goodsmile";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";31;85;"4,92";536;498;618;"550";516;4;2200;"73,3333";"2200";"0";"0";30;4;"0,1333";"https://cdn1.ozone.ru/s3/multimedia-v/6610551223.jpg";"https://www.ozon.ru/context/detail/id/919339138";"0,1333";0;1300;518;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;608;0;0;0;0;0;0;0;0;0;0;0;518;0;0;0;537;537;0;0;0;0;520;521;518;518;518;518;618;616;608;498;510;510;510;510;510;510;510;511;511;511;518;544;545;545;537;537;537;537;536;536;87;77;71;82;73;45;69;58;66;81;67;75;73;71;51;51;53;57;55;50;43;55;56;62;56;50;50;43;52;34;36;36;36;36;36;36;36;35;34;34;34;34;34;34;34;34;34;34;34;34;33;33;33;33;32;31;31;31;31;31
919331883;"Оплётка на руль, чехол на руль автомобиля, чехол для рычага переключения передач";"Good Smile";"goodsmile";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";32;85;"4,92";509;482;618;"502,3333";490;6;3014;"100,4667";"3014";"0";"0";30;4;"0,2";"https://cdn1.ozone.ru/s3/multimedia-b/6610557107.jpg";"https://www.ozon.ru/context/detail/id/919331883";"0,2";0;1300;517;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;482;0;0;0;510;0;0;1530;0;0;492;492;492;492;492;492;618;616;608;608;612;612;612;602;598;598;598;599;599;599;482;516;517;517;510;510;510;510;509;509;56;53;46;42;44;31;52;47;42;44;33;38;32;35;33;30;31;29;30;32;22;26;46;57;53;57;52;51;56;35;8;8;8;8;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;36;36;36;35;35;35;32;32;32
466803698;"Оплётка на руль, чехол на руль автомобиля, чехол для рычага переключения передач";"Good Smile";"goodsmile";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";22;85;"4,92";619;614;700;"700";596;9;6300;"210";"6300";"0";"0";30;7;"0,3";"https://cdn1.ozone.ru/s3/multimedia-t/6229622501.jpg";"https://www.ozon.ru/context/detail/id/466803698";"0,3";0;1300;700;2;1;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1400;700;0;0;0;0;1400;700;700;0;0;0;0;0;0;0;0;0;0;0;700;700;0;0;0;0;0;0;0;0;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;614;620;619;60;63;74;68;59;33;67;37;58;75;68;72;65;56;42;42;38;39;38;34;20;31;33;31;33;32;28;25;29;24;28;28;28;28;28;28;26;25;24;24;24;24;24;24;24;24;24;24;24;24;23;22;22;22;22;22;22;22;22;22
708470113;"Оплётка на руль, кожа PU, узор, размер 38-40см, черный";"365DAY";"DENI";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";0;1;"4";3500;3500;3500;"nan";3500;0;0;"0";"0";"0";"0";0;0;"nan";"https://cdn1.ozone.ru/s3/multimedia-a/6405520534.jpg";"https://www.ozon.ru/context/detail/id/708470113";"0";0;3500;3500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;3500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
177657262;"Оплётка на руль, Велюр, 38 см, чёрно-синий (M)";"TORSO";"Фабрика счастья";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";4;14;"4,79";461;461;490;"462";443;1;462;"15,4";"462";"0";"0";30;1;"0,0333";"https://cdn1.ozone.ru/s3/multimedia-0/6016664148.jpg";"https://www.ozon.ru/context/detail/id/177657262";"0,0333";0;609;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;462;0;0;0;0;0;480;480;480;480;480;480;469;469;469;469;480;480;480;481;481;481;481;482;482;482;490;471;471;472;462;462;462;462;461;461;1;4;5;3;2;1;2;3;1;1;1;1;1;2;1;1;2;1;1;2;3;2;5;6;5;6;5;4;7;6;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;4;4;4;4;4;4
177657263;"Оплётка на руль, Анатомическая, 38 см, чёрный (M)";"TORSO";"Фабрика счастья";"Автотовары/Автоаксессуары и принадлежности/Интерьер автомобиля/Оплетки и ручки на руль";"FBO";4;16;"4,69";494;493;694;"nan";475;0;0;"0";"0";"0";"0";26;0;"0";"https://cdn1.ozone.ru/s3/multimedia-5/6016664117.jpg";"https://www.ozon.ru/context/detail/id/177657263";"0";0;695;609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;694;694;694;694;694;694;595;596;596;598;611;611;611;609;609;609;610;609;609;609;621;502;504;505;493;493;493;493;493;494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
